host;Questel unique family ID (FAN);Priority dates;Latest standardized assignees - inventors removed
suin;6705098;12/08/2008;HUAZHONG AGRICULTURAL UNIVERSITY
mult_sp;6710313;24/04/2008;FUDAN UNIVERSITY
suin;6710317;23/01/2008;INSTITUTE OF ANIMAL SCIENCE & VETERINARY MEDICINE SHANDONG ACADEMY OF AGRICULTURAL SCIENCES
suin;6715318;05/11/2008;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
suin;6715323;29/10/2008;NANJING AGRICULTURAL UNIVERSITY
suin;6715326;29/10/2008;NANJING AGRICULTURAL UNIVERSITY
avian_flu;6723489;19/11/2008;INSTITUTE OF MICROBIOLOGY & EPIDEMIOLOGY ACADEMY OF MILITARY MEDICAL SCIENCES PR CHINA
mult_sp;6724628;"2007-05-30
2008-05-28";ELANCO
avian_flu;6740344;24/12/2008;UNIVERSITY BEIJING
suin;6741615;06/07/2008;LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
avian_flu;6747861;31/12/2008;ZHEJIANG CENTER FOR DISEASE CONTROL & PREVENTION
avian_flu;6747865;31/12/2008;INSTITUTE OF MICROBIOLOGY & EPIDEMIOLOGY ACADEMY OF MILITARY MEDICAL SCIENCES PR CHINA
avian_flu;6747874;31/12/2008;INSTITUTE OF MICROBIOLOGY & EPIDEMIOLOGY ACADEMY OF MILITARY MEDICAL SCIENCES PR CHINA
avian;6766392;11/12/2008;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian;6766392;11/12/2008;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian_flu;6767547;"2007-09-30
2008-09-19";ZHONGQI BIOLOGICAL PHARMACEUTICAL
avian;6769893;11/12/2007;HENAN AGRICULTURAL UNIVERSITY
avian_flu;6772429;06/10/2008;ZHEJIANG YEBIO BIOTECHNOLOGY
mult_sp;6773992;07/01/2009;XINGJIANG MEDICAL UNIVERSITY
mult_sp;6776268;01/12/2008;HUAZHONG AGRICULTURAL UNIVERSITY
avian_flu;6787440;04/01/2009;INSTITUTE OF ANIMAL SCIENCE & VETERINARY MEDICINE SHANDONG ACADEMY OF AGRICULTURAL SCIENCES
